Issue ID,Issue Type,Summary,Description,Parent,Epic Name,Priority,Labels,Components,Original Estimate,Start date,Due date
1,Epic,Foundations & DevOps,"Project scaffolding, local dev environment, CI basics, and baseline tooling.",,SWISH-FOUND,High,"mvp,devops",devops,,18/Feb/26 09:00 AM,20/Feb/26 11:00 PM
2,Story,Monorepo scaffold (NestJS + Next.js 14),"Set up repo structure, base NestJS app, base Next.js app, shared config.",1,,High,"mvp,devops,setup",devops,,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
3,Sous-tâche,Create NestJS app skeleton,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
4,Sous-tâche,Create Next.js app skeleton,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
5,Sous-tâche,Shared scripts + env loading,Subtask for story: Monorepo scaffold (NestJS + Next.js 14),2,,High,"mvp,devops,setup,subtask",devops,4h,18/Feb/26 9:00 AM,18/Feb/26 11:00 PM
6,Story,Docker Compose for local dev (Postgres 15 + apps),"Add docker-compose.yml with Postgres 15, networks, volumes and local run targets.",1,,High,"mvp,devops,setup,docker",devops,,18/Feb/26 09:00 AM,19/Feb/26 11:00 PM
7,Sous-tâche,Compose: Postgres service + volume,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,18/Feb/26 09:00 AM,18/Feb/26 11:00 PM
8,Sous-tâche,Compose: api/web services + env wiring,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
9,Sous-tâche,README: local dev commands,Subtask for story: Docker Compose for local dev (Postgres 15 + apps),6,,High,"mvp,devops,setup,docker,subtask",devops,4h,19/Feb/26 09:00 AM,19/Feb/26 11:00 PM
10,Story,Tooling baseline (lint/format/test),Configure ESLint/Prettier + test runner(s) for backend/frontend.,1,,Medium,"mvp,devops,tooling",devops,,02/Feb/26 10:00 AM,20/Feb/26 11:00 PM
11,Sous-tâche,ESLint + Prettier config,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,19/Feb/26 9:00 AM,19/Feb/26 11:00 PM
12,Sous-tâche,Backend tests baseline,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,20/Feb/26 9:00 AM,20/Feb/26 11:00 PM
13,Sous-tâche,Frontend tests baseline,Subtask for story: Tooling baseline (lint/format/test),10,,Medium,"mvp,devops,tooling,subtask",devops,4h,20/Feb/26 9:00 AM,20/Feb/26 11:00 PM
14,Story,CI pipeline (lint/test),Add GitHub Actions pipeline running lint + unit tests on PRs.,1,,Medium,"mvp,devops,ci",devops,,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
15,Sous-tâche,GitHub Actions workflow,Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
16,Sous-tâche,Cache node_modules (optional),Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
17,Sous-tâche,CI badges + docs,Subtask for story: CI pipeline (lint/test),14,,Medium,"mvp,devops,ci,subtask",devops,4h,20/Feb/26 09:00 AM,20/Feb/26 11:00 PM
18,Epic,Database Schema + Postgres RLS,"Create schema, constraints, indexes and enforce tenant isolation with Row Level Security + per-request tenant context.",,SWISH-DBRLS,High,"mvp,security,rls",db,,18/Feb/26 09:00 AM,23/Feb/26 11:00 PM
19,Story,"Migrations: global tables (users, tenants, memberships)",TypeORM entities + migration for global tables and constraints.,18,,High,"mvp,security,rls,db,migration",db,,18/Feb/26 9:00 AM,19/Feb/26 11:00 PM
